,Tenor,Expiry,Fwd,alpha,beta,rho,nu,mean_error
0,2.0,0.25,0.0107638332259373,0.11073215012411936,0.7,-0.40740161042355433,1.6957664796989678,0.0586460156407836
1,2.0,0.5,0.011099189328091,0.11811835146598647,0.7,-0.3572268537295271,1.4037869417125746,0.041212935654674765
2,2.0,0.75,0.0116024287527238,0.12067826919237541,0.7,-0.2800510341941072,1.066443187986287,0.023977384706833915
3,2.0,1.0,0.0121935636676584,0.12000204384735165,0.7,-0.027580831027853817,0.8275313482443164,0.01152534760018252
4,2.0,2.0,0.0161959844231264,0.11437579633529288,0.7,-0.3759590043131131,1.1784299351914043,0.03226191016694237
5,2.0,5.0,0.0284363638504981,0.09902009001554005,0.7,-0.18323328109926737,0.41923264621572187,0.0008034382494426784
6,2.0,10.0,0.0338734710965737,0.0821429608209515,0.7,-0.33770133721212076,0.331179116155141,0.000273038184758178
7,5.0,0.25,0.0160174897353125,0.11160104442787898,0.7,-0.2737004660967086,0.8065233592447456,0.01790306297911838
8,5.0,0.5,0.0168024601574037,0.11743096937423234,0.7,-0.24813512803790821,0.6686953157557145,0.009545090446237267
9,5.0,0.75,0.0176819474963739,0.11848555545196826,0.7,-0.2697881317248922,0.6033270123098735,0.006279773983032687
10,5.0,1.0,0.0186232260931809,0.11955493445029705,0.7,-0.2409519262160022,0.5256852997090988,0.004301434614407641
11,5.0,2.0,0.0223841862550879,0.11894836213734158,0.7,-0.305182099398547,0.4587505477966212,0.0012918698625216355
12,5.0,5.0,0.0305387253564752,0.09653365252535161,0.7,-0.2970565565517615,0.3796769646495533,0.0005574010009085392
13,5.0,10.0,0.033460206787028,0.07927179627852557,0.7,-0.3517997945938496,0.38047487196002006,0.00029540139932060505
14,10.0,0.25,0.0229900298619521,0.11114229142004961,0.7,-0.39402256267546065,0.7435132675499776,0.0033038738237710272
15,10.0,0.5,0.023535063149,0.11348501855656012,0.7,-0.3728738345296065,0.7140514130139021,0.0015266255954070977
16,10.0,0.75,0.0241191197646149,0.1126719595133017,0.7,-0.391601675691711,0.6630825419680717,0.001356197447803847
17,10.0,1.0,0.0247247202595493,0.11323208816342786,0.7,-0.42407295210535684,0.582626914744344,0.0012418210543701637
18,10.0,2.0,0.0271933226970671,0.10875620070261263,0.7,-0.41459803936043466,0.48534061720617794,0.0008596174940761111
19,10.0,5.0,0.0318835490704834,0.09140582898438596,0.7,-0.3373460304290572,0.4230956729343713,0.0004951465246830704
20,10.0,10.0,0.0310092021008827,0.08363339377323847,0.7,-0.35612400381065995,0.37300488828586326,0.0003403144329571845
21,15.0,0.25,0.0263322222163567,0.10655460779488277,0.7,-0.5756261692651952,0.7948466880371239,0.001463474425147493
22,15.0,0.5,0.0265494792292252,0.1089908208362986,0.7,-0.5164211848544917,0.6948741037704353,0.0011835017961818986
23,15.0,0.75,0.0267842607517269,0.10777121180613652,0.7,-0.4738857980412551,0.6032346862723097,0.0012473951337007819
24,15.0,1.0,0.0270263314132533,0.10821054844845501,0.7,-0.4539115862991025,0.5519119131127511,0.0009341138535537542
25,15.0,2.0,0.027948737125188,0.10481640039494054,0.7,-0.40944141043281795,0.5142661630836041,0.0004864603029777019
26,15.0,5.0,0.0292443456593043,0.08937011509979031,0.7,-0.3167740804855088,0.44824252022498523,0.0005684262288973409
27,15.0,10.0,0.0270809467677389,0.08326676174892954,0.7,-0.3639899798556787,0.33588041954613046,0.0008081485209090744
28,30.0,0.25,0.025244792841184,0.11336820321821679,0.7,-0.5643705161765025,0.8046219803007688,0.001692874612814896
29,30.0,0.5,0.0253993291961977,0.1147830986119548,0.7,-0.5101304793039604,0.7133089570950785,0.0016157577997433165
30,30.0,0.75,0.0255670295264503,0.11372964989505382,0.7,-0.4921540061518529,0.6511825678346953,0.0011729024344072328
31,30.0,1.0,0.0257401621025641,0.1146771270944193,0.7,-0.5146139832877747,0.5968471247187682,0.0012888772015970014
32,30.0,2.0,0.0263998413140275,0.1113719980845042,0.7,-0.44308904154347184,0.5273295942810868,0.0008290298523807397
33,30.0,5.0,0.0272907584750467,0.09536179071087336,0.7,-0.3539219177615075,0.46456389279591837,0.0006765634181400107
34,30.0,10.0,0.0259541153585943,0.0835630934086549,0.7,-0.3547409249184783,0.33669745648561866,0.0005928634399096263
35,3.75,2.2,0.03,0.1263602029081743,0.7,0.3209629938117855,0.5155877568283812,0.004013009444545722
